aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
114324;Recurvoidella bradyi;FORAMS;Foraminifera;(Robertson, 1891)
112341;Reophax;FORAMS;Foraminifera;Montfort, 1808
114016;Reophax scorpiurus;FORAMS;Foraminifera;Montfort, 1808
112315;Rhabdammina;FORAMS;Foraminifera;Sars in Carpenter, 1869
113898;Rhabdammina abyssorum;FORAMS;Foraminifera;Sars in Carpenter, 1869
113906;Rhizammina algaeformis;FORAMS;Foraminifera;Brady, 1879
112259;Robertina;FORAMS;Foraminifera;d'Orbigny, 1846
907207;Rotamorphina involuta;FORAMS;Foraminifera;Parker, 1958
112373;Saccammina;FORAMS;Foraminifera;Sars in Carpenter, 1869
113974;Saccorhiza ramosa;FORAMS;Foraminifera;(Brady, 1879)
114021;Scherochorella moniliformis;FORAMS;Foraminifera;(Siddall, 1886)
112704;Sigmoilopsis schlumbergeri;FORAMS;Foraminifera;(Silvestri, 1904)
112392;Siphotextularia;FORAMS;Foraminifera;Finlay, 1939
992022;Sphaeroidina bulloides;FORAMS;Foraminifera;d'Orbigny in Deshayes, 1828
112046;Spiroloculina;FORAMS;Foraminifera;d'Orbigny, 1826
113070;Stainforthia fusiformis;FORAMS;Foraminifera;(Williamson, 1858)
113908;Testulosiphon indivisus;FORAMS;Foraminifera;(Brady, 1884)
112394;Textularia;FORAMS;Foraminifera;Defrance, 1824
114264;Textularia agglutinans;FORAMS;Foraminifera;d'Orbigny, 1839
114285;Textularia sagittula;FORAMS;Foraminifera;Defrance, 1824
113757;Trifarina bradyi;FORAMS;Foraminifera;Cushman, 1923
112047;Triloculina;FORAMS;Foraminifera;d'Orbigny, 1826
146261;Tritaxis britannica;FORAMS;Foraminifera;Brönnimann & Whittaker, 1990
112412;Trochammina;FORAMS;Foraminifera;Parker & Jones, 1859
416108;Trochamminoides;FORAMS;Foraminifera;Cushman, 1910
113462;Turborotalita quinqueloba;FORAMS;Foraminifera;(Natland, 1938)
113772;Uvigerina mediterranea;FORAMS;Foraminifera;Hofker, 1932
113773;Uvigerina peregrina;FORAMS;Foraminifera;Cushman, 1923
112100;Valvulineria;FORAMS;Foraminifera;Cushman, 1926
103987;Bicosoeca;phy;Bigyra;H.J.Clark, 1868
551182;Poteriodendron petiolatum var. abbottii;phy;Bigyra;(A.Stokes) Playfair, 1921
118011;Cryothecomonas;phy;Cercozoa;Thomsen, Buck, Bolt & Garrison, 1991
118045;Cryothecomonas aestivalis;phy;Cercozoa;Drebes, Kühn & Schnepf, 1996
118047;Cryothecomonas scybalophora;phy;Cercozoa;Thomsen, Buck, Bolt & Garrison, 1991
428550;Massisteria;phy;Cercozoa;Larsen & Patterson, 1990
118019;Metromonas;phy;Cercozoa;(Griessmann, 1913) Larsen & Patterson, 1990
136779;Paulinella;phy;Cercozoa;Lauterborn, 1895
136903;Paulinella ovalis;phy;Cercozoa;(A.Wulff) P.W.Johnson, P.E.Hargraves & J.M.Sieburth, 1988
742629;Protaspa;phy;Cercozoa;Cavalier-Smith, 2011
881411;Protaspa grandis;phy;Cercozoa;(Hoppenrath & Leander, 2006)
160542;Actinastrum;phy;Chlorophyta;Lagerheim, 1882
163489;Ankistrodesmus;phy;Chlorophyta;Corda, 1838
575737;Binuclearia lauterbornii;phy;Chlorophyta;(Schmidle) Proschkina-Lavrenko, 1966
248103;Botryococcus;phy;Chlorophyta;Kützing, 1849
345436;Brachiomonas;phy;Chlorophyta;Bohlin, 1897
367250;Carteria;phy;Chlorophyta;Diesing, 1866
178583;Chlamydomonas;phy;Chlorophyta;Ehrenberg, 1833
160550;Coelastrum;phy;Chlorophyta;Nägeli, 1849
178617;Crucigenia;phy;Chlorophyta;Morren, 1830
134545;Cymbomonas tetramitiformis;phy;Chlorophyta;Schiller, 1913
249711;Desmodesmus;phy;Chlorophyta;(R.Chodat) S.S.An, T.Friedl & E.Hegewald, 1999
178623;Dictyosphaerium;phy;Chlorophyta;Nägeli, 1849
134530;Dolichomastix;phy;Chlorophyta;Manton, 1977
577860;Gloeotila;phy;Chlorophyta;Kützing, 1843
134528;Halosphaera;phy;Chlorophyta;K.J.F.Schmitz, 1878
376694;Halosphaera minor;phy;Chlorophyta;Ostenfeld
163108;Kirchneriella;phy;Chlorophyta;Schmidle, 1893
160588;Koliella;phy;Chlorophyta;Hindák, 1963
178609;Lagerheimia;phy;Chlorophyta;R.Chodat, 1895
134532;Mantoniella;phy;Chlorophyta;T.V.Desikachary, 1972
134563;Mantoniella squamata;phy;Chlorophyta;(Manton & Parke) Desikachary, 1972
163478;Micractinium;phy;Chlorophyta;Fresenius, 1858
134533;Micromonas;phy;Chlorophyta;I.Manton & M.Parke, 1960
134564;Micromonas pusilla;phy;Chlorophyta;(Butcher) I.Manton & M.Parke, 1960
160590;Monoraphidium;phy;Chlorophyta;Komárková-Legnerová, 1969
134524;Nephroselmis;phy;Chlorophyta;F.Stein, 1878
134540;Nephroselmis minuta;phy;Chlorophyta;(N.Carter) Butcher, 1959
134541;Nephroselmis pyriformis;phy;Chlorophyta;(N.Carter) Ettl, 1982
577723;Oedogonium;phy;Chlorophyta;Link ex Hirn, 1900
178611;Oocystis;phy;Chlorophyta;Nägeli ex A.Braun, 1855
248145;Oocystis submarina;phy;Chlorophyta;Lagerheim, 1886
160594;Pachysphaera;phy;Chlorophyta;Ostenfeld, 1899
160561;Pediastrum;phy;Chlorophyta;Meyen, 1829
162715;Planctonema;phy;Chlorophyta;Schmidle, 1903
172816;Polyasterias;phy;Chlorophyta;A.Meunier, 1910
172818;Polyasterias problematica;phy;Chlorophyta;(Cleve) Meunier, 1910
143937;Pseudendoclonium;phy;Chlorophyta;Wille, 1901
144879;Pseudendoclonium submarinum;phy;Chlorophyta;Wille, 1901
621601;Pseudopediastrum boryanum;phy;Chlorophyta;(Turpin) E.Hegewald, 2005
134566;Pseudoscourfieldia marina;phy;Chlorophyta;(J.Throndsen) Manton, 1975
172469;Pteromonas;phy;Chlorophyta;Seligo, 1887
160595;Pterosperma;phy;Chlorophyta;Pouchet, 1893
376081;Pterosperma cristatum;phy;Chlorophyta;Schiller, 1925
345830;Pterosperma dictyon;phy;Chlorophyta;(Jørgensen) Ostenfeld, 1901
345882;Pterosperma moebii;phy;Chlorophyta;(Jørgensen) Ostenfeld, 1901
341609;Pterosperma parallelum;phy;Chlorophyta;Gaardner, 1938
341610;Pterosperma polygonum;phy;Chlorophyta;Ostenfeld, 1902
376084;Pterosperma undulatum;phy;Chlorophyta;Ostenfeld, 1902
345881;Pterosperma vanhoeffenii;phy;Chlorophyta;(Jørgensen) Ostenfeld, 1899
134529;Pyramimonas;phy;Chlorophyta;Schmarda, 1849
160513;Pyramimonas longicauda;phy;Chlorophyta;L.Van Meel, 1969
134550;Pyramimonas subg. Trichocystis grossii;phy;Chlorophyta;Parke, 1949
134559;Pyramimonas virginica;phy;Chlorophyta;Pennick, 1977
160602;Scenedesmus;phy;Chlorophyta;Meyen, 1829
134535;Scourfieldia;phy;Chlorophyta;G.S.West, 1912
178949;Tetraëdron;phy;Chlorophyta;Kützing, 1845
134526;Tetraselmis;phy;Chlorophyta;F.Stein, 1878
248171;Tetraselmis cordiformis;phy;Chlorophyta;(H.J.Carter) F.Stein, 1878
376158;Tetraselmis marina;phy;Chlorophyta;(Cienkowski) R.E.Norris, Hori & Chihara, 1980
162934;Tetrastrum;phy;Chlorophyta;Chodat, 1895
610934;Tetrastrum staurogeniiforme;phy;Chlorophyta;(Schröder) Lemmermann, 1900
576713;Treubaria;phy;Chlorophyta;C.Bernard, 1908
494309;Uronema;phy;Chlorophyta;Lagerheim, 1887
183555;Acanthostomella;phy;Ciliophora;Jörgensen, 1927
183556;Acanthostomella norvegica;phy;Ciliophora;(Daday, 1887)
292897;Askenasia;phy;Ciliophora;Blochmann, 1895
292898;Askenasia stellaris;phy;Ciliophora;Leegaard, 1920
150203;Codonella;phy;Ciliophora;Haeckel, 1873
196834;Dictyocysta;phy;Ciliophora;Ehrenberg, 1854
341301;Didinium;phy;Ciliophora;Stein, 1859
341668;Epiplocylis undella;phy;Ciliophora;(Ostenfeld & Schmidt) Jörgensen, 1927
172434;Helicostomella;phy;Ciliophora;Jörgensen, 1924
427488;Helicostomella edentata;phy;Ciliophora;(Fauré-Fremiet, 1924)
240437;Helicostomella subulata;phy;Ciliophora;(Ehrenberg, 1833) Jörgensen, 1924
101190;Laboea;phy;Ciliophora;Lohmann, 1908
101264;Laboea strobila;phy;Ciliophora;Lohmann, 1908
179314;Lacrymaria;phy;Ciliophora;Bory de St. Vincent, 1824
101179;Leegaardiella;phy;Ciliophora;Lynn & Montagnes, 1988
179320;Mesodinium;phy;Ciliophora;von Stein
179321;Mesodinium pulex;phy;Ciliophora;Claparède & Lachmann, 1858
232069;Mesodinium rubrum;phy;Ciliophora;(Lohmann, 1908)
341324;Monodinium;phy;Ciliophora;Fabre-Domergue, 1888
292924;Proplectella;phy;Ciliophora;Kofoid & Campbell, 1929
595198;Pseudotontonia cornuta;phy;Ciliophora;(Leegaard, 1915) Agatha, 2004
427510;Ptychocylis minor;phy;Ciliophora;Gruber, 1879
101185;Strobilidium;phy;Ciliophora;Schewiakoff, 1892
101198;Strombidinopsis;phy;Ciliophora;Kent, 1881
