aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
112301;Bigenerina;FORAM;Foraminifera;d'Orbigny, 1826
1046354;Bigenerina (Bigenerina) nodosaria;FORAM;Foraminifera;d'Orbigny, 1826
112014;Biloculinella;FORAM;Foraminifera;Wiesner, 1931
112990;Bolivina subaenariensis;FORAM;Foraminifera;Cushman, 1922
113030;Bulimina aculeata;FORAM;Foraminifera;d'Orbigny, 1826
113042;Bulimina marginata;FORAM;Foraminifera;d'Orbigny, 1826
113047;Bulimina striata;FORAM;Foraminifera;d'Orbigny in Guérin-Méneville, 1832
466352;Bulimina truncana;FORAM;Foraminifera;Gümbel, 1870
112098;Cancris;FORAM;Foraminifera;Montfort, 1808
582554;Cancris auricula;FORAM;Foraminifera;(Fichtel & Moll, 1798)
113075;Cassidulina crassa;FORAM;Foraminifera;d'Orbigny, 1839
113077;Cassidulina laevigata;FORAM;Foraminifera;d'Orbigny, 1826
113085;Cassidulina teretis;FORAM;Foraminifera;Tappan, 1951
113553;Chilostomella oolina;FORAM;Foraminifera;Schwager, 1878
183063;Cibicidoides bradyi;FORAM;Foraminifera;(Trauth, 1918)
112883;Cibicidoides kullenbergi;FORAM;Foraminifera;(Parker, 1953)
112884;Cibicidoides pachyderma;FORAM;Foraminifera;(Rzehak, 1886)
112890;Cibicidoides wuellerstorfi;FORAM;Foraminifera;(Schwager, 1866)
112006;Cornuspira;FORAM;Foraminifera;Schultze, 1854
254680;Cribroelphidium excavatum;FORAM;Foraminifera;(Terquem, 1875)
112348;Cyclammina;FORAM;Foraminifera;Brady, 1879
112217;Dentalina;FORAM;Foraminifera;Risso, 1826
466420;Eilohedra vitrea;FORAM;Foraminifera;(Parker, 1953)
112162;Elphidium;FORAM;Foraminifera;Montfort, 1808
113257;Elphidium articulatum;FORAM;Foraminifera;(d'Orbigny, 1839)
113334;Epistominella exigua;FORAM;Foraminifera;(Brady, 1884)
113193;Favulina hexagona;FORAM;Foraminifera;(Williamson, 1848)
112154;Fissurina;FORAM;Foraminifera;Reuss, 1850
112111;Fursenkoina;FORAM;Foraminifera;Loeblich & Tappan, 1961
113159;Gavelinopsis praegeri;FORAM;Foraminifera;(Heron-Allen & Earland, 1913)
112197;Globigerina;FORAM;Foraminifera;d'Orbigny, 1826
113434;Globigerina bulloides;FORAM;Foraminifera;d'Orbigny, 1826
113440;Globigerinella siphonifera;FORAM;Foraminifera;(d'Orbigny, 1839)
113060;Globobulimina affinis;FORAM;Foraminifera;(d'Orbigny, 1839)
397221;Globocassidulina crassa;FORAM;Foraminifera;(d'Orbigny, 1839)
113091;Globocassidulina subglobosa;FORAM;Foraminifera;(Brady, 1881)
1026410;Globoconella inflata;FORAM;Foraminifera;(d'Orbigny, 1839)
113448;Globorotalia hirsuta;FORAM;Foraminifera;(d'Orbigny, 1839)
113452;Globorotalia scitula;FORAM;Foraminifera;(Brady, 1882)
